"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd06","Idxtrd07"
"399001","2017-07-14","10445.568","10452.942","10382.373","10427.787","832492.56","10905385.53"
"399001","2017-07-17","10383.222","10384.047","10006.385","10055.796","1270872.10","15370840.60"
"399001","2017-07-18","10012.911","10103.763","9960.557","10103.763","912762.86","11334005.78"
"399001","2017-07-19","10079.679","10296.292","10064.312","10295.575","1215156.07","14563423.95"
"399001","2017-07-20","10288.886","10392.060","10282.279","10366.983","1108471.93","14324078.79"
"399001","2017-07-21","10354.543","10406.251","10342.722","10364.820","929689.20","12101794.86"
"399001","2017-07-24","10352.853","10414.073","10341.242","10404.223","1010193.85","12864649.71"
"399001","2017-07-25","10398.253","10421.208","10317.916","10353.211","956630.05","11916395.23"
"399001","2017-07-26","10365.605","10380.697","10247.541","10297.343","1060760.78","12676717.70"
"399001","2017-07-27","10284.917","10416.548","10216.022","10395.193","1306358.19","16162937.65"
"399001","2017-07-28","10381.309","10456.408","10371.391","10437.938","1082192.68","13698959.59"
"399001","2017-07-31","10438.230","10517.330","10418.828","10505.044","1319522.84","16002354.40"
"399001","2017-08-01","10496.713","10529.901","10472.710","10525.346","1248945.29","15415357.86"
"399001","2017-08-02","10525.996","10557.474","10461.953","10469.338","1332583.78","16407360.23"
"399001","2017-08-03","10454.010","10507.229","10403.593","10436.172","1219967.72","15007828.49"
"399001","2017-08-04","10426.527","10450.687","10360.826","10361.231","1289024.10","15151814.35"
"399001","2017-08-07","10353.154","10451.083","10347.501","10451.083","1007423.08","11891407.35"
"399001","2017-08-08","10448.871","10516.608","10437.851","10496.246","1233193.73","14375200.28"
"399001","2017-08-09","10487.767","10548.062","10455.274","10544.589","1168669.08","13923770.75"
"399001","2017-08-10","10525.148","10582.163","10417.085","10480.641","1140346.67","14187110.96"
"399001","2017-08-11","10407.335","10459.911","10281.631","10291.347","1214489.63","14496133.74"
"399001","2017-08-14","10308.966","10519.804","10308.966","10519.804","1097777.93","14654336.98"
"399001","2017-08-15","10527.536","10559.778","10502.521","10559.778","992990.49","13338925.82"
"399001","2017-08-16","10550.424","10625.336","10504.073","10600.779","1153188.96","15518724.08"
