"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd06","Idxtrd07"
"000001","2016-10-12","3057.316","3060.514","3048.888","3058.498","1424935.77","15998296.14"
"000001","2016-10-13","3057.972","3064.999","3052.640","3061.346","1547567.25","16633586.91"
"000001","2016-10-14","3056.993","3064.790","3043.184","3063.809","1553737.05","16379299.46"
"000001","2016-10-17","3064.691","3068.812","3033.753","3041.166","1637332.65","18059407.71"
"000001","2016-10-18","3037.404","3084.187","3037.404","3083.875","1820424.60","19603612.80"
"000001","2016-10-19","3085.749","3096.223","3076.771","3084.719","1824701.43","19748113.64"
"000001","2016-10-20","3084.908","3089.682","3076.295","3084.458","1606913.64","17767454.27"
"000001","2016-10-21","3081.389","3101.849","3069.267","3090.941","1873880.72","20195366.24"
"000001","2016-10-24","3092.047","3137.034","3090.786","3128.247","2405223.49","25035439.36"
"000001","2016-10-25","3127.968","3132.505","3121.050","3131.939","2033808.98","22086146.41"
"000001","2016-10-26","3129.838","3129.838","3110.387","3116.312","1916632.63","21576770.64"
"000001","2016-10-27","3112.603","3114.759","3100.392","3112.350","1580087.89","18223712.53"
"000001","2016-10-28","3111.704","3128.643","3101.237","3104.270","1817741.23","21259300.99"
"000001","2016-10-31","3097.188","3102.302","3081.072","3100.492","1515067.64","17842774.54"
"000001","2016-11-01","3101.664","3122.615","3097.042","3122.436","1602320.32","19583159.23"
"000001","2016-11-02","3115.729","3118.977","3099.820","3102.733","1827220.67","22167654.21"
"000001","2016-11-03","3096.765","3140.930","3094.103","3128.936","2229862.60","26582036.04"
"000001","2016-11-04","3126.349","3141.334","3119.535","3125.317","1976831.97","23904325.73"
"000001","2016-11-07","3124.892","3139.202","3117.096","3133.333","1794184.90","21060232.44"
"000001","2016-11-08","3140.944","3156.881","3134.955","3147.888","1908469.79","22158511.72"
"000001","2016-11-09","3146.078","3146.950","3096.947","3128.370","2411149.58","27722939.27"
"000001","2016-11-10","3148.544","3172.309","3148.544","3171.282","2441926.02","28599281.05"
"000001","2016-11-11","3169.401","3202.740","3166.070","3196.044","3108545.79","34377395.13"
"000001","2016-11-14","3187.709","3221.458","3186.796","3210.371","3296083.13","34697462.85"
"000001","2016-11-15","3209.955","3214.292","3195.035","3206.986","2408863.50","26700387.09"
"000001","2016-11-16","3208.497","3210.893","3195.411","3205.057","2217669.93","24485451.12"
"000001","2016-11-17","3198.499","3211.053","3187.206","3208.453","2142062.40","22677585.12"
"000001","2016-11-18","3207.193","3212.394","3187.496","3192.856","2098266.39","23535206.23"
"000001","2016-11-21","3188.496","3229.757","3188.280","3218.148","2306528.44","26317780.81"
"000001","2016-11-22","3220.983","3249.677","3220.983","3248.352","2616315.47","29248483.06"
"000001","2016-11-23","3247.945","3262.879","3231.586","3241.137","2499595.92","27794246.77"
"000001","2016-11-24","3237.428","3257.857","3232.869","3241.736","2323245.27","26722471.24"
"000001","2016-11-25","3241.243","3262.438","3209.598","3261.938","2339216.01","25911704.04"
"000001","2016-11-28","3270.047","3288.337","3267.674","3277.000","2815512.53","30046015.09"
"000001","2016-11-29","3269.234","3301.213","3263.397","3282.924","3208362.87","34814934.97"
"000001","2016-11-30","3272.142","3277.269","3239.521","3250.034","2435760.53","26280873.82"
"000001","2016-12-01","3257.027","3279.671","3256.256","3273.309","2377598.64","26155393.45"
"000001","2016-12-02","3270.121","3279.714","3235.277","3243.843","2595672.05","28155909.56"
"000001","2016-12-05","3203.784","3219.518","3194.879","3204.709","2230103.94","23859803.30"
"000001","2016-12-06","3202.029","3215.311","3196.525","3199.647","1575726.93","17717015.44"
"000001","2016-12-07","3198.475","3222.428","3189.485","3222.242","1690728.47","18944384.66"
"000001","2016-12-08","3225.550","3228.122","3211.471","3215.366","1707101.73","19780206.52"
"000001","2016-12-09","3209.340","3244.801","3207.043","3232.883","2040239.56","22638715.63"
